"","Longitude","Latitude","School.ID","Enrollment.x","Grade.Level","src_school_id","school_name","overall_city_rank","ach_city_rank","prog_city_rank","clim_city_rank","cc_city_rank","Serious.Incidents","Total.Suspensions","Count.Native.American.y","Percent.Native.American.y","Count.Asian.y","Percent.Asian.y","Count.Black.y","Percent.Black.y","Count.Hispanic.y","Percent.Hispanic.y","Count.Multirace.y","Percent.Multirace.y","Count.Pacific.Islander.y","Percent.Pacific.Islander.y","Count.White.y","Percent.White.y"
"172",-75.165,39.98,3315,432,"Elem/Middle","W15","Alliance For Progress Charter School","29th of 126","28th of 126","56th of 126","21st of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",-75.233,39.952,3388,664,"High School","W88","Boys' Latin of Philadelphia Charter School","35th of 71","41st of 70","59th of 71","10th of 72","26th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",-75.131,40.013,3395,721,"Elem/Middle","W95","Antonia Pantoja Charter School","51st of 126","40th of 126","75th of 126","29th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",-75.068,40.008,3366,780,"Middle/High","W66","Maritime Academy Charter School","29th of 71","25th of 70","22nd of 71","26th of 72","46th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",-75.068,40.008,3366,780,"Middle/High","W66","Maritime Academy Charter School","29th of 71","25th of 70","22nd of 71","26th of 72","46th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",-75.068,40.008,3366,780,"Middle/High","W66","Maritime Academy Charter School","21st of 126","14th of 126","54th of 126","14th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",-75.068,40.008,3366,780,"Middle/High","W66","Maritime Academy Charter School","21st of 126","14th of 126","54th of 126","14th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",-75.147,39.949,3361,561,"Middle/High","W61","Mastery Charter School at Lenfest Campus","21st of 71","15th of 70","37th of 71","12th of 72","20th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",-75.147,39.949,3361,561,"Middle/High","W61","Mastery Charter School at Lenfest Campus","21st of 71","15th of 70","37th of 71","12th of 72","20th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",-75.147,39.949,3361,561,"Middle/High","W61","Mastery Charter School at Lenfest Campus","18th of 33","15th of 33","27th of 33","9th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",-75.147,39.949,3361,561,"Middle/High","W61","Mastery Charter School at Lenfest Campus","18th of 33","15th of 33","27th of 33","9th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",-75.171,39.918,3336,1417,"Tutoring","W36","Philadelphia Performing Arts: A String Theory Charter School","32nd of 126","9th of 126","102nd of 126","City Leader",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","21st of 71","38th of 70","13th of 71","29th of 72","15th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","21st of 71","38th of 70","13th of 71","29th of 72","15th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","21st of 71","38th of 70","13th of 71","29th of 72","15th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","21st of 71","38th of 70","13th of 71","29th of 72","15th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","47th of 126","43rd of 126","62nd of 126","44th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","47th of 126","43rd of 126","62nd of 126","44th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","47th of 126","43rd of 126","62nd of 126","44th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",-75.088,40.01,3399,591,"Elem/Mid/High","W99","Sankofa Freedom Academy Charter School","47th of 126","43rd of 126","62nd of 126","44th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",-75.045,40.022,3389,492,"Elem/Middle","W89","Keystone Academy Charter School","14th of 126","4th of 126","58th of 126","9th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",-75.181,40.032,3393,544,"Middle/High","W93","Mastery Charter School at Pickett Campus","19th of 71","16th of 70","17th of 71","27th of 72","28th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
